layer,token,logit
0,Yes,-181.05587768554688
0,No,-181.06118774414062
1,Yes,-180.37533569335938
1,No,-180.7604217529297
2,Yes,-181.5565948486328
2,No,-180.1277313232422
3,Yes,-165.98016357421875
3,No,-164.77560424804688
4,Yes,-167.48583984375
4,No,-166.6802520751953
5,Yes,-168.8188018798828
5,No,-168.31814575195312
6,Yes,-192.3765106201172
6,No,-190.76673889160156
7,Yes,-214.7384796142578
7,No,-212.2801971435547
8,Yes,-211.63705444335938
8,No,-206.56361389160156
9,Yes,-209.336669921875
9,No,-204.61865234375
10,Yes,-237.89361572265625
10,No,-236.0570068359375
11,Yes,-1319.585693359375
11,No,-1310.5994873046875
