layer,token,logit
0, Yes,-179.94012451171875
0, No,-178.81947326660156
0, Mary,-183.56936645507812
0, Cow,-185.25555419921875
0, Ocean,-181.76304626464844
1, Yes,-178.53440856933594
1, No,-177.61424255371094
1, Mary,-182.60690307617188
1, Cow,-184.63792419433594
1, Ocean,-179.38465881347656
2, Yes,-180.05255126953125
2, No,-179.5832977294922
2, Mary,-185.48255920410156
2, Cow,-187.41651916503906
2, Ocean,-184.02427673339844
3, Yes,-185.1628875732422
3, No,-188.5167999267578
3, Mary,-192.34530639648438
3, Cow,-196.283935546875
3, Ocean,-190.59881591796875
4, Yes,-178.81932067871094
4, No,-182.02976989746094
4, Mary,-186.0495147705078
4, Cow,-188.7119903564453
4, Ocean,-183.65966796875
5, Yes,-162.43289184570312
5, No,-167.85462951660156
5, Mary,-172.97250366210938
5, Cow,-174.4539337158203
5, Ocean,-167.6488037109375
6, Yes,-167.78143310546875
6, No,-175.15948486328125
6, Mary,-180.20326232910156
6, Cow,-180.74514770507812
6, Ocean,-177.36436462402344
7, Yes,-154.37176513671875
7, No,-162.62576293945312
7, Mary,-171.3791961669922
7, Cow,-173.56668090820312
7, Ocean,-173.1197967529297
8, Yes,-159.80624389648438
8, No,-168.87962341308594
8, Mary,-181.69204711914062
8, Cow,-186.69485473632812
8, Ocean,-182.56234741210938
9, Yes,-128.7946319580078
9, No,-138.54685974121094
9, Mary,-158.31082153320312
9, Cow,-162.05628967285156
9, Ocean,-158.60238647460938
10, Yes,-179.95626831054688
10, No,-187.5039520263672
10, Mary,-215.73818969726562
10, Cow,-217.1188201904297
10, Ocean,-216.51507568359375
11, Yes,-1855.33837890625
11, No,-1865.2923583984375
11, Mary,-1900.387451171875
11, Cow,-1906.3028564453125
11, Ocean,-1903.21826171875
