layer,token,logit
0,Yes,-181.13204956054688
0,No,-181.05747985839844
1,Yes,-180.70245361328125
1,No,-181.05809020996094
2,Yes,-183.06031799316406
2,No,-181.5518035888672
3,Yes,-165.00750732421875
3,No,-164.27174377441406
4,Yes,-164.2649383544922
4,No,-163.53683471679688
5,Yes,-158.7882080078125
5,No,-159.3490753173828
6,Yes,-181.46507263183594
6,No,-182.543701171875
7,Yes,-207.04408264160156
7,No,-207.36773681640625
8,Yes,-209.5354461669922
8,No,-208.65972900390625
9,Yes,-204.6417236328125
9,No,-203.61019897460938
10,Yes,-231.24436950683594
10,No,-232.98080444335938
11,Yes,-1242.579833984375
11,No,-1238.661865234375
