layer,token,logit
0,Yes,-181.0702362060547
0,No,-180.91073608398438
1,Yes,-180.52587890625
1,No,-180.39938354492188
2,Yes,-182.51638793945312
2,No,-180.4600830078125
3,Yes,-165.7569122314453
3,No,-164.97848510742188
4,Yes,-165.7236328125
4,No,-165.22056579589844
5,Yes,-167.55706787109375
5,No,-167.6373291015625
6,Yes,-185.57774353027344
6,No,-186.8138885498047
7,Yes,-212.6389617919922
7,No,-212.3280029296875
8,Yes,-208.6510009765625
8,No,-203.0117950439453
9,Yes,-201.8063201904297
9,No,-197.4427947998047
10,Yes,-223.82064819335938
10,No,-222.09341430664062
11,Yes,-1258.874755859375
11,No,-1250.912841796875
