,layer,token,logit
0,0, No,-465.09546356201173
1,0, Yes,-464.39738189697266
2,1, No,-452.9718600463867
3,1, Yes,-450.7094415283203
4,2, No,-454.88796081542966
5,2, Yes,-452.27471740722655
6,3, No,-459.4874166870117
7,3, Yes,-456.13131072998044
8,4, No,-491.64596069335937
9,4, Yes,-488.264303894043
10,5, No,-3848.164345703125
11,5, Yes,-3844.400576171875
