layer,head,mean
5,3,0.3845634162425995
5,7,0.3829696550965309
0,2,0.2983903996646404
1,6,0.26747532933950424
3,4,0.2619943507015705
5,2,0.260695394128561
0,3,0.2453824020922184
1,4,0.24247857555747032
0,5,0.2371262051165104
0,7,0.23607858270406723
