,layer,token,logit
0,0, No,-465.12669677734374
1,0, Yes,-464.420647277832
2,1, No,-453.0973178100586
3,1, Yes,-450.8287255859375
4,2, No,-455.4621472167969
5,2, Yes,-452.66907989501954
6,3, No,-459.31142150878907
7,3, Yes,-455.82288024902346
8,4, No,-492.5586575317383
9,4, Yes,-488.94957153320314
10,5, No,-3850.932412109375
11,5, Yes,-3846.859892578125
