layer,head,mean_attention_toward
3,14,3.4382569305598736
5,10,3.3865159386768937
5,14,3.311103792861104
5,11,3.2778381556272507
0,4,3.229449763894081
8,6,3.1785406097769737
15,12,3.171320792287588
20,8,3.1693702936172485
5,13,3.158275868743658
3,3,3.1554277278482914
