layer,head,mean_attention_toward
21,1,3.6499658914544852
20,2,3.305269134696573
7,5,2.9298116117715836
21,4,2.7980924854637124
19,14,2.7774541415274143
4,1,2.7387129738926888
17,15,2.7167386263608932
18,10,2.705277681350708
2,14,2.704232320189476
21,8,2.6844412381760776
