layer,head,mean_attention_toward
3,6,2.951119531542645
5,3,2.94904288649559
5,2,2.9317222521285657
3,5,2.792270870413631
3,3,2.6795962477460336
3,0,2.496903111150459
3,7,2.4668661481700838
1,6,2.3965253829956055
5,1,2.3439621008092217
3,1,2.3142717216037454
