layer,head,mean_attention_toward
11,4,3.5775569318793714
8,6,3.489373631775379
9,5,3.4049735829178993
9,2,3.2657176170189466
11,2,2.9757614210247993
9,7,2.909321965649724
9,1,2.8852561894364044
6,5,2.881232738494873
10,7,2.834691110998392
6,6,2.788681587204337
