Neuron,LogitDiff
Layer5Neuron1166,0.1677132546901703
Layer5Neuron856,0.16033592820167542
Layer5Neuron666,0.14897212386131287
Layer5Neuron848,0.14542675018310547
Layer5Neuron1903,0.13404083251953125
Layer5Neuron297,0.12352810055017471
Layer5Neuron250,0.12323284149169922
Layer5Neuron969,0.121923066675663
Layer5Neuron1025,0.12191877514123917
Layer5Neuron326,0.11956844478845596
Layer5Neuron446,0.11714305728673935
Layer5Neuron58,0.1095496192574501
Layer5Neuron224,0.10950984805822372
Layer5Neuron1867,0.10688171535730362
Layer5Neuron1476,0.09968958050012589
Layer5Neuron1469,0.09670887142419815
Layer5Neuron1419,0.09562826156616211
Layer5Neuron1326,0.08772601932287216
Layer5Neuron431,0.08667230606079102
Layer5Neuron1571,0.08381013572216034
Layer5Neuron1337,0.08154821395874023
Layer5Neuron805,0.07804699242115021
Layer5Neuron1506,0.07784824073314667
Layer5Neuron1034,0.07644615322351456
Layer5Neuron28,0.07643298804759979
Layer5Neuron662,0.0756656676530838
Layer5Neuron167,0.07547159492969513
Layer5Neuron2010,0.07495574653148651
Layer5Neuron749,0.07493791729211807
Layer5Neuron1420,0.07420168071985245
Layer5Neuron669,0.07099141925573349
Layer5Neuron791,0.07082824409008026
Layer5Neuron1642,0.06942157447338104
Layer5Neuron20,0.0692892074584961
Layer5Neuron1008,0.06748561561107635
Layer5Neuron1206,0.064562126994133
Layer5Neuron2001,0.06431541591882706
Layer5Neuron228,0.06322593986988068
Layer5Neuron1390,0.06238384172320366
Layer5Neuron55,0.06229104846715927
Layer5Neuron1105,0.062247179448604584
Layer5Neuron1047,0.06196918338537216
Layer5Neuron459,0.05829601362347603
Layer5Neuron1309,0.05699510499835014
Layer5Neuron477,0.05681419372558594
Layer5Neuron433,0.05652771145105362
Layer5Neuron1342,0.056426145136356354
Layer5Neuron1322,0.056342411786317825
Layer5Neuron1292,0.05195045471191406
Layer5Neuron2007,0.050777338445186615
Layer5Neuron1779,0.05015134811401367
Layer5Neuron563,0.049485303461551666
Layer5Neuron953,0.0491238608956337
Layer5Neuron1682,0.04860353469848633
Layer5Neuron113,0.04844465106725693
Layer5Neuron1431,0.04770383983850479
Layer5Neuron180,0.04747448116540909
Layer5Neuron1857,0.04738635942339897
Layer5Neuron1543,0.0471438392996788
Layer5Neuron1311,0.04626636579632759
Layer5Neuron269,0.046209048479795456
Layer5Neuron1113,0.045896053314208984
Layer5Neuron1052,0.0450713150203228
Layer5Neuron1031,0.044974327087402344
Layer5Neuron547,0.04485521465539932
Layer5Neuron2039,0.044365692883729935
Layer5Neuron1994,0.0438322052359581
Layer5Neuron415,0.04363365098834038
Layer5Neuron527,0.043488312512636185
Layer5Neuron334,0.043038368225097656
Layer5Neuron1366,0.04258441925048828
Layer5Neuron107,0.041887473315000534
Layer5Neuron1843,0.04179496690630913
Layer5Neuron1537,0.04065723344683647
Layer5Neuron14,0.039766598492860794
Layer5Neuron1667,0.03860664367675781
Layer5Neuron732,0.038518428802490234
Layer5Neuron568,0.038271524012088776
Layer5Neuron542,0.03770723193883896
Layer5Neuron260,0.037676334381103516
Layer5Neuron1860,0.037561796605587006
Layer5Neuron718,0.03730573505163193
Layer5Neuron1853,0.03675021976232529
Layer5Neuron1450,0.03668403625488281
Layer5Neuron320,0.03658714145421982
Layer5Neuron712,0.036437034606933594
Layer5Neuron1942,0.036348916590213776
Layer5Neuron356,0.03626050800085068
Layer5Neuron2042,0.03625202178955078
Layer5Neuron1220,0.03618593141436577
Layer5Neuron287,0.03604478761553764
Layer5Neuron829,0.03596534579992294
Layer5Neuron841,0.03581972047686577
Layer5Neuron1064,0.03570957109332085
Layer5Neuron205,0.03564796596765518
Layer5Neuron1428,0.035109709948301315
Layer5Neuron345,0.03476600721478462
Layer5Neuron855,0.034514427185058594
Layer5Neuron1120,0.03342094272375107
Layer5Neuron1057,0.033231161534786224
Layer5Neuron82,0.03299751132726669
Layer5Neuron1605,0.03161296993494034
Layer5Neuron1287,0.031383611261844635
Layer5Neuron105,0.031383514404296875
Layer5Neuron832,0.031035423278808594
Layer5Neuron622,0.030585383996367455
Layer5Neuron845,0.030572127550840378
Layer5Neuron840,0.030466461554169655
Layer5Neuron1563,0.029919719323515892
Layer5Neuron436,0.029531478881835938
Layer5Neuron1201,0.029103850945830345
Layer5Neuron1675,0.029028987511992455
Layer5Neuron204,0.029011249542236328
Layer5Neuron1773,0.02872467041015625
Layer5Neuron163,0.028543759137392044
Layer5Neuron1301,0.028393840417265892
Layer5Neuron213,0.028169060125947
Layer5Neuron283,0.027939796447753906
Layer5Neuron1546,0.027666281908750534
Layer5Neuron499,0.027463531121611595
Layer5Neuron1768,0.026823997497558594
Layer5Neuron596,0.026590537279844284
Layer5Neuron1317,0.026422787457704544
Layer5Neuron1750,0.025849437341094017
Layer5Neuron1019,0.025651073083281517
Layer5Neuron69,0.025095557793974876
Layer5Neuron623,0.02495880052447319
Layer5Neuron162,0.024831008166074753
Layer5Neuron128,0.02475147321820259
Layer5Neuron974,0.024345779791474342
Layer5Neuron1104,0.023856258019804955
Layer5Neuron1276,0.023464012891054153
Layer5Neuron350,0.023366928100585938
Layer5Neuron763,0.023256683722138405
Layer5Neuron1645,0.023146534338593483
Layer5Neuron957,0.023009587079286575
Layer5Neuron468,0.022789383307099342
Layer5Neuron1572,0.022546768188476562
Layer5Neuron1214,0.022542189806699753
Layer5Neuron410,0.02239227294921875
Layer5Neuron1933,0.02227764204144478
Layer5Neuron858,0.022026443853974342
Layer5Neuron1491,0.021863078698515892
Layer5Neuron1197,0.021854400634765625
Layer5Neuron298,0.02174835279583931
Layer5Neuron1181,0.021660422906279564
Layer5Neuron579,0.02151021920144558
Layer5Neuron2047,0.02115316316485405
Layer5Neuron1398,0.020998859778046608
Layer5Neuron1874,0.02095041237771511
Layer5Neuron1126,0.02063732221722603
Layer5Neuron1896,0.020610904321074486
Layer5Neuron203,0.02015657350420952
Layer5Neuron1241,0.020046520978212357
Layer5Neuron68,0.019980430603027344
Layer5Neuron1780,0.019865702837705612
Layer5Neuron1997,0.01982135698199272
Layer5Neuron1369,0.01966695860028267
Layer5Neuron1504,0.01938943937420845
Layer5Neuron678,0.01930999755859375
Layer5Neuron1673,0.019204044714570045
Layer5Neuron978,0.01910257339477539
Layer5Neuron586,0.01871023140847683
Layer5Neuron1505,0.018582439050078392
Layer5Neuron15,0.0185515396296978
Layer5Neuron742,0.018516158685088158
Layer5Neuron879,0.018436908721923828
Layer5Neuron1974,0.018375109881162643
Layer5Neuron965,0.018370818346738815
Layer5Neuron1957,0.01822519302368164
Layer5Neuron1846,0.01818552054464817
Layer5Neuron1014,0.018053149804472923
Layer5Neuron486,0.01798686943948269
Layer5Neuron1626,0.017973804846405983
Layer5Neuron1749,0.017916489392518997
Layer5Neuron343,0.017819691449403763
Layer5Neuron340,0.017718028277158737
Layer5Neuron1804,0.017621135339140892
Layer5Neuron361,0.017598818987607956
Layer5Neuron1631,0.017559338361024857
Layer5Neuron753,0.01747121848165989
Layer5Neuron472,0.017462443560361862
Layer5Neuron256,0.017316818237304688
Layer5Neuron307,0.017162704840302467
Layer5Neuron1247,0.017158031463623047
Layer5Neuron671,0.017003918066620827
Layer5Neuron1211,0.016920089721679688
Layer5Neuron1038,0.01681842841207981
Layer5Neuron231,0.01674365997314453
Layer5Neuron891,0.016522979363799095
Layer5Neuron1624,0.01645689085125923
Layer5Neuron1949,0.016333390027284622
Layer5Neuron1243,0.01630706712603569
Layer5Neuron1702,0.016258621588349342
Layer5Neuron518,0.015967274084687233
Layer5Neuron444,0.015843963250517845
Layer5Neuron420,0.015795325860381126
Layer5Neuron2044,0.015548324212431908
Layer5Neuron818,0.015544223599135876
Layer5Neuron1046,0.015186786651611328
