Head,LogitDiff
Layer24Head5,0.44856247305870056
Layer24Head7,0.2926430106163025
Layer24Head0,0.0942305475473404
Layer28Head2,0.07502245157957077
Layer26Head0,0.07059874385595322
Layer26Head1,0.06717635691165924
Layer35Head12,0.06689366698265076
Layer24Head4,0.06539689004421234
Layer34Head9,0.058689359575510025
Layer34Head14,0.05411062017083168
Layer26Head4,0.053314462304115295
Layer28Head3,0.05248025059700012
Layer28Head14,0.04996395856142044
Layer28Head5,0.049895837903022766
Layer26Head5,0.049496348947286606
Layer28Head6,0.04778436943888664
Layer30Head6,0.0467037633061409
Layer29Head10,0.046567969024181366
Layer35Head15,0.04441803693771362
Layer35Head13,0.04206736013293266
Layer27Head8,0.041742146015167236
Layer24Head10,0.041122421622276306
Layer34Head0,0.04092719778418541
Layer27Head3,0.040301233530044556
Layer27Head15,0.03890327364206314
Layer35Head1,0.038774944841861725
Layer26Head8,0.038649898022413254
Layer33Head14,0.03847840428352356
Layer35Head6,0.0383286252617836
Layer28Head9,0.038065530359745026
Layer26Head2,0.0379314087331295
Layer34Head12,0.03789442032575607
Layer26Head11,0.037721503525972366
Layer30Head2,0.037526339292526245
Layer33Head6,0.03736879676580429
Layer21Head3,0.037345271557569504
Layer24Head6,0.0372982881963253
Layer27Head10,0.03718319535255432
Layer30Head1,0.036987144500017166
Layer34Head13,0.03698061406612396
Layer23Head12,0.03697023540735245
Layer28Head11,0.03690974414348602
Layer35Head8,0.03673233836889267
Layer23Head4,0.036723457276821136
Layer20Head15,0.036662716418504715
Layer33Head2,0.036589883267879486
Layer32Head11,0.036425910890102386
Layer29Head0,0.03639105707406998
Layer31Head13,0.03639012947678566
Layer27Head1,0.0363285131752491
Layer27Head5,0.036246512085199356
Layer30Head0,0.03624187409877777
Layer32Head12,0.036207519471645355
Layer33Head1,0.03619341552257538
Layer22Head0,0.03619222715497017
Layer8Head2,0.03616563230752945
Layer33Head4,0.0357949361205101
Layer21Head11,0.0357673317193985
Layer7Head12,0.03572294861078262
Layer29Head6,0.035564981400966644
Layer19Head5,0.035560403019189835
Layer34Head3,0.035534266382455826
Layer25Head3,0.035452548414468765
Layer31Head14,0.035363588482141495
Layer25Head13,0.03521132096648216
Layer25Head0,0.03513456881046295
