Value,Condition
-0.28045654296875,Clean (a>b → Yes)
-0.519851803779602,Clean (a>b → Yes)
-0.3966589570045471,Clean (a>b → Yes)
-0.2768779397010803,Clean (a>b → Yes)
-0.3631054759025574,Clean (a>b → Yes)
-0.2998379170894623,Clean (a>b → Yes)
-0.4141499698162079,Clean (a>b → Yes)
-0.4135459065437317,Clean (a>b → Yes)
-0.37544649839401245,Clean (a>b → Yes)
-0.5109648108482361,Clean (a>b → Yes)
-0.4053954482078552,Clean (a>b → Yes)
-0.20264409482479095,Clean (a>b → Yes)
-0.5078946948051453,Clean (a>b → Yes)
-0.44162705540657043,Clean (a>b → Yes)
-0.5085886716842651,Clean (a>b → Yes)
-0.28438448905944824,Clean (a>b → Yes)
-0.3665317893028259,Clean (a>b → Yes)
-0.2634921669960022,Clean (a>b → Yes)
-0.485583633184433,Clean (a>b → Yes)
-0.4977388381958008,Clean (a>b → Yes)
-0.24249638617038727,Clean (a>b → Yes)
-0.46535444259643555,Clean (a>b → Yes)
-0.18570423126220703,Clean (a>b → Yes)
-0.3349872827529907,Clean (a>b → Yes)
-0.6356669068336487,Clean (a>b → Yes)
-0.34762343764305115,Clean (a>b → Yes)
-0.43168339133262634,Clean (a>b → Yes)
-0.3319351375102997,Clean (a>b → Yes)
-0.34465694427490234,Clean (a>b → Yes)
-0.43466028571128845,Clean (a>b → Yes)
-0.5059362649917603,Clean (a>b → Yes)
-0.3325313925743103,Clean (a>b → Yes)
-0.40612995624542236,Clean (a>b → Yes)
-0.4103025197982788,Clean (a>b → Yes)
-0.40046024322509766,Clean (a>b → Yes)
-0.46379369497299194,Clean (a>b → Yes)
-0.33698228001594543,Clean (a>b → Yes)
-0.5048747062683105,Clean (a>b → Yes)
-0.34092745184898376,Clean (a>b → Yes)
-0.6155155897140503,Clean (a>b → Yes)
-0.4959990680217743,Clean (a>b → Yes)
-0.267804354429245,Clean (a>b → Yes)
-0.42786407470703125,Clean (a>b → Yes)
-0.3583744168281555,Clean (a>b → Yes)
-0.4283732771873474,Clean (a>b → Yes)
-0.382712721824646,Clean (a>b → Yes)
-0.4213750660419464,Clean (a>b → Yes)
-0.4786294400691986,Clean (a>b → Yes)
-0.365070641040802,Clean (a>b → Yes)
-0.39020681381225586,Clean (a>b → Yes)
-0.43961459398269653,Clean (a>b → Yes)
-0.2171267569065094,Clean (a>b → Yes)
-0.5352458953857422,Clean (a>b → Yes)
-0.4753834009170532,Clean (a>b → Yes)
-0.44573691487312317,Clean (a>b → Yes)
-0.3952164947986603,Clean (a>b → Yes)
-0.556040346622467,Clean (a>b → Yes)
-0.47916486859321594,Clean (a>b → Yes)
-0.4095773994922638,Clean (a>b → Yes)
-0.3854595124721527,Clean (a>b → Yes)
-0.5086929202079773,Clean (a>b → Yes)
-0.5138010382652283,Clean (a>b → Yes)
-0.5481540560722351,Clean (a>b → Yes)
-0.2813822627067566,Clean (a>b → Yes)
-0.6036089658737183,Clean (a>b → Yes)
-0.4475178122520447,Clean (a>b → Yes)
-0.3376912772655487,Clean (a>b → Yes)
-0.41984957456588745,Clean (a>b → Yes)
-0.30195170640945435,Clean (a>b → Yes)
-0.3804641366004944,Clean (a>b → Yes)
-0.3673867881298065,Clean (a>b → Yes)
-0.2880686819553375,Clean (a>b → Yes)
-0.29313114285469055,Clean (a>b → Yes)
-0.305201917886734,Clean (a>b → Yes)
-0.2728237211704254,Clean (a>b → Yes)
-0.6745284199714661,Clean (a>b → Yes)
-0.35070833563804626,Clean (a>b → Yes)
-0.4932752847671509,Clean (a>b → Yes)
-0.4356706440448761,Clean (a>b → Yes)
-0.38719749450683594,Clean (a>b → Yes)
-0.4089609682559967,Clean (a>b → Yes)
-0.472354918718338,Clean (a>b → Yes)
-0.31828129291534424,Clean (a>b → Yes)
-0.4799796938896179,Clean (a>b → Yes)
-0.3117903172969818,Clean (a>b → Yes)
-0.21237240731716156,Clean (a>b → Yes)
-0.40831565856933594,Clean (a>b → Yes)
-0.5278059244155884,Clean (a>b → Yes)
-0.3160712718963623,Clean (a>b → Yes)
-0.39820581674575806,Clean (a>b → Yes)
-0.2782200574874878,Clean (a>b → Yes)
-0.37921327352523804,Clean (a>b → Yes)
-0.4625996947288513,Clean (a>b → Yes)
-0.4746200144290924,Clean (a>b → Yes)
-0.4312402307987213,Clean (a>b → Yes)
-0.46325796842575073,Clean (a>b → Yes)
-0.39549320936203003,Clean (a>b → Yes)
-0.32491645216941833,Clean (a>b → Yes)
-0.3731536865234375,Clean (a>b → Yes)
-0.35335707664489746,Clean (a>b → Yes)
-0.17654821276664734,Corrupt (b>a → No)
-0.20024150609970093,Corrupt (b>a → No)
-0.22001120448112488,Corrupt (b>a → No)
-0.14610996842384338,Corrupt (b>a → No)
-0.2902478873729706,Corrupt (b>a → No)
-0.16854354739189148,Corrupt (b>a → No)
-0.19184865057468414,Corrupt (b>a → No)
-0.20890580117702484,Corrupt (b>a → No)
-0.36418217420578003,Corrupt (b>a → No)
-0.2768678069114685,Corrupt (b>a → No)
-0.4094020128250122,Corrupt (b>a → No)
-0.23154336214065552,Corrupt (b>a → No)
-0.30459386110305786,Corrupt (b>a → No)
-0.24385319650173187,Corrupt (b>a → No)
-0.2946523129940033,Corrupt (b>a → No)
-0.24986548721790314,Corrupt (b>a → No)
-0.2681446969509125,Corrupt (b>a → No)
-0.4750940203666687,Corrupt (b>a → No)
-0.25080248713493347,Corrupt (b>a → No)
-0.21868959069252014,Corrupt (b>a → No)
-0.21334825456142426,Corrupt (b>a → No)
-0.19677148759365082,Corrupt (b>a → No)
-0.17871913313865662,Corrupt (b>a → No)
-0.11157477647066116,Corrupt (b>a → No)
-0.1896955370903015,Corrupt (b>a → No)
-0.42570167779922485,Corrupt (b>a → No)
-0.27700620889663696,Corrupt (b>a → No)
-0.44389310479164124,Corrupt (b>a → No)
-0.425934761762619,Corrupt (b>a → No)
-0.24358412623405457,Corrupt (b>a → No)
-0.27406471967697144,Corrupt (b>a → No)
-0.2135062962770462,Corrupt (b>a → No)
-0.3548780381679535,Corrupt (b>a → No)
-0.37310630083084106,Corrupt (b>a → No)
-0.25568869709968567,Corrupt (b>a → No)
-0.33525556325912476,Corrupt (b>a → No)
-0.38939395546913147,Corrupt (b>a → No)
-0.3469524383544922,Corrupt (b>a → No)
-0.3510124683380127,Corrupt (b>a → No)
-0.25588759779930115,Corrupt (b>a → No)
-0.31319916248321533,Corrupt (b>a → No)
-0.24986915290355682,Corrupt (b>a → No)
-0.26358866691589355,Corrupt (b>a → No)
-0.25840646028518677,Corrupt (b>a → No)
-0.15777765214443207,Corrupt (b>a → No)
-0.2368103712797165,Corrupt (b>a → No)
-0.2877510190010071,Corrupt (b>a → No)
-0.44634684920310974,Corrupt (b>a → No)
-0.2136383056640625,Corrupt (b>a → No)
-0.34755295515060425,Corrupt (b>a → No)
-0.40549957752227783,Corrupt (b>a → No)
-0.4388412535190582,Corrupt (b>a → No)
-0.16240699589252472,Corrupt (b>a → No)
-0.2640937268733978,Corrupt (b>a → No)
-0.22164449095726013,Corrupt (b>a → No)
-0.17016124725341797,Corrupt (b>a → No)
-0.3401966989040375,Corrupt (b>a → No)
-0.28852713108062744,Corrupt (b>a → No)
-0.12454697489738464,Corrupt (b>a → No)
-0.25443968176841736,Corrupt (b>a → No)
-0.19135449826717377,Corrupt (b>a → No)
-0.21713148057460785,Corrupt (b>a → No)
-0.22409547865390778,Corrupt (b>a → No)
-0.13159428536891937,Corrupt (b>a → No)
-0.19646452367305756,Corrupt (b>a → No)
-0.2844436466693878,Corrupt (b>a → No)
-0.1292894333600998,Corrupt (b>a → No)
-0.3545098304748535,Corrupt (b>a → No)
-0.4716072678565979,Corrupt (b>a → No)
-0.276224821805954,Corrupt (b>a → No)
-0.4226911962032318,Corrupt (b>a → No)
-0.12838368117809296,Corrupt (b>a → No)
-0.28437450528144836,Corrupt (b>a → No)
-0.2681901156902313,Corrupt (b>a → No)
-0.3926677405834198,Corrupt (b>a → No)
-0.4058074355125427,Corrupt (b>a → No)
-0.3574685752391815,Corrupt (b>a → No)
-0.2313385158777237,Corrupt (b>a → No)
-0.22604115307331085,Corrupt (b>a → No)
-0.16335445642471313,Corrupt (b>a → No)
-0.2088698148727417,Corrupt (b>a → No)
-0.3114057779312134,Corrupt (b>a → No)
-0.2157129943370819,Corrupt (b>a → No)
-0.30676448345184326,Corrupt (b>a → No)
-0.36352741718292236,Corrupt (b>a → No)
-0.16252729296684265,Corrupt (b>a → No)
-0.19444073736667633,Corrupt (b>a → No)
-0.30019882321357727,Corrupt (b>a → No)
-0.3468896448612213,Corrupt (b>a → No)
-0.22072458267211914,Corrupt (b>a → No)
-0.46247342228889465,Corrupt (b>a → No)
-0.23700806498527527,Corrupt (b>a → No)
-0.3310586214065552,Corrupt (b>a → No)
-0.2571156620979309,Corrupt (b>a → No)
-0.2947624623775482,Corrupt (b>a → No)
-0.25078096985816956,Corrupt (b>a → No)
-0.38064610958099365,Corrupt (b>a → No)
-0.46745967864990234,Corrupt (b>a → No)
-0.3642524182796478,Corrupt (b>a → No)
-0.1514573097229004,Corrupt (b>a → No)
