Value,Condition
0.23784811794757843,Corrupt (b>a → No)
0.32786813378334045,Corrupt (b>a → No)
0.25916504859924316,Corrupt (b>a → No)
0.16793078184127808,Corrupt (b>a → No)
0.26754698157310486,Corrupt (b>a → No)
0.1602465659379959,Corrupt (b>a → No)
0.17694835364818573,Corrupt (b>a → No)
0.26675593852996826,Corrupt (b>a → No)
0.2757810354232788,Corrupt (b>a → No)
0.09037115424871445,Corrupt (b>a → No)
0.15758122503757477,Corrupt (b>a → No)
0.011990116909146309,Corrupt (b>a → No)
0.29863452911376953,Corrupt (b>a → No)
0.3196122646331787,Corrupt (b>a → No)
0.2707361876964569,Corrupt (b>a → No)
0.21921133995056152,Corrupt (b>a → No)
0.150123730301857,Corrupt (b>a → No)
0.21424788236618042,Corrupt (b>a → No)
0.23690249025821686,Corrupt (b>a → No)
0.216655433177948,Corrupt (b>a → No)
0.3711065948009491,Corrupt (b>a → No)
0.2541639506816864,Corrupt (b>a → No)
0.2728813886642456,Corrupt (b>a → No)
0.26695865392684937,Corrupt (b>a → No)
0.3010285794734955,Corrupt (b>a → No)
0.3724674880504608,Corrupt (b>a → No)
0.0651976466178894,Corrupt (b>a → No)
0.18000061810016632,Corrupt (b>a → No)
0.03403849899768829,Corrupt (b>a → No)
0.2513192594051361,Corrupt (b>a → No)
0.2351502925157547,Corrupt (b>a → No)
0.30214518308639526,Corrupt (b>a → No)
0.1855309158563614,Corrupt (b>a → No)
0.09430979192256927,Corrupt (b>a → No)
0.17467989027500153,Corrupt (b>a → No)
0.11966627836227417,Corrupt (b>a → No)
0.1797565221786499,Corrupt (b>a → No)
0.3111235797405243,Corrupt (b>a → No)
0.21084178984165192,Corrupt (b>a → No)
0.1457047462463379,Corrupt (b>a → No)
0.2972477376461029,Corrupt (b>a → No)
0.21455679833889008,Corrupt (b>a → No)
0.1873786747455597,Corrupt (b>a → No)
0.17421162128448486,Corrupt (b>a → No)
0.1289890706539154,Corrupt (b>a → No)
0.11358759552240372,Corrupt (b>a → No)
0.2464943826198578,Corrupt (b>a → No)
0.14966073632240295,Corrupt (b>a → No)
0.2321031391620636,Corrupt (b>a → No)
0.254428505897522,Corrupt (b>a → No)
0.16280856728553772,Corrupt (b>a → No)
0.20441260933876038,Corrupt (b>a → No)
0.21626946330070496,Corrupt (b>a → No)
0.20655880868434906,Corrupt (b>a → No)
0.27519986033439636,Corrupt (b>a → No)
0.4236387610435486,Corrupt (b>a → No)
0.10673262923955917,Corrupt (b>a → No)
-0.065184585750103,Corrupt (b>a → No)
0.22248001396656036,Corrupt (b>a → No)
0.32171115279197693,Corrupt (b>a → No)
