layer,token,logit
0,Yes,-0.042589470744132996
0,No,0.2042696326971054
1,Yes,-0.4160568118095398
1,No,-1.92608642578125
2,Yes,-0.7041252255439758
2,No,-0.48253369331359863
3,Yes,0.2342836856842041
3,No,-2.099011182785034
4,Yes,-0.14348924160003662
4,No,-2.3741774559020996
5,Yes,-1.8321404457092285
5,No,-4.154419898986816
6,Yes,-0.7366463541984558
6,No,-0.1779155731201172
7,Yes,-0.7018847465515137
7,No,1.4136505126953125
8,Yes,3.4268579483032227
8,No,-1.2738831043243408
9,Yes,-3.024442195892334
9,No,-6.70926570892334
10,Yes,-3.2531192302703857
10,No,-12.929155349731445
11,Yes,-0.9302588701248169
11,No,-7.5004987716674805
12,Yes,-1.6946229934692383
12,No,-3.444173812866211
13,Yes,-4.173693656921387
13,No,-3.8602938652038574
14,Yes,-2.3311524391174316
14,No,0.6427021026611328
15,Yes,-4.206934928894043
15,No,2.7007884979248047
16,Yes,-11.826704025268555
16,No,-3.068113327026367
17,Yes,-5.360574722290039
17,No,-6.144542217254639
18,Yes,-2.4483728408813477
18,No,-1.9392180442810059
19,Yes,0.01717662811279297
19,No,-1.5309505462646484
20,Yes,-0.1860647201538086
20,No,3.622042179107666
21,Yes,-2.304194450378418
21,No,3.105501174926758
22,Yes,1.211740493774414
22,No,4.312753677368164
23,Yes,-2.066194534301758
23,No,-1.5730905532836914
24,Yes,-6.922185897827148
24,No,-3.7238755226135254
25,Yes,-3.7053585052490234
25,No,-13.93373966217041
26,Yes,-12.798752784729004
26,No,-20.032604217529297
27,Yes,-8.577682495117188
27,No,-21.575855255126953
28,Yes,-6.257035255432129
28,No,-26.592967987060547
29,Yes,-6.913288593292236
29,No,-33.21989059448242
30,Yes,-11.873108863830566
30,No,-37.406925201416016
31,Yes,-22.331268310546875
31,No,-43.77969741821289
32,Yes,-39.022705078125
32,No,-58.906776428222656
33,Yes,-44.289215087890625
33,No,-136.774169921875
34,Yes,-5.252294540405273
34,No,-114.74906921386719
35,Yes,33.278568267822266
35,No,-45.67729949951172
