layer,head,importance
3,6,1.2332839965820312
4,10,1.14111328125
4,8,0.935791015625
3,8,0.9102554321289062
5,0,0.8488540649414062
8,1,0.8283233642578125
6,4,0.768218994140625
1,8,0.6882095336914062
5,6,0.6694564819335938
7,5,0.6655197143554688
5,9,0.6187820434570312
2,9,0.5583724975585938
0,4,0.5433425903320312
8,3,0.5280532836914062
0,8,0.46759033203125
7,2,0.46087646484375
5,5,0.45880889892578125
0,10,0.44501495361328125
0,9,0.42864990234375
3,2,0.41765594482421875
0,1,0.4136962890625
0,11,0.4091644287109375
3,4,0.39995574951171875
1,2,0.38758087158203125
4,4,0.34893035888671875
6,0,0.33837127685546875
6,8,0.33300018310546875
9,10,0.30496978759765625
7,6,0.30193328857421875
7,9,0.29807281494140625
2,7,0.28647613525390625
5,3,0.28540802001953125
3,10,0.2792816162109375
9,8,0.27715301513671875
10,2,0.2768707275390625
4,7,0.2519683837890625
1,0,0.22711944580078125
2,8,0.2192840576171875
4,3,0.21880340576171875
10,1,0.20017242431640625
4,9,0.197113037109375
6,5,0.1763458251953125
8,11,0.17081451416015625
0,0,0.15703582763671875
9,11,0.15689849853515625
4,5,0.14618682861328125
2,11,0.1321868896484375
10,9,0.12953948974609375
9,6,0.12554931640625
9,3,0.124725341796875
11,10,0.12322235107421875
11,2,0.10300445556640625
11,4,0.09564971923828125
11,11,0.09262847900390625
8,4,0.08570098876953125
2,6,0.084442138671875
6,2,0.083526611328125
2,10,0.065185546875
11,8,0.0538482666015625
9,9,0.05072021484375
7,4,0.04276275634765625
10,3,0.04143524169921875
5,11,0.038238525390625
3,9,0.03658294677734375
8,0,0.03101348876953125
11,0,0.02025604248046875
4,1,0.0189361572265625
11,1,0.01448822021484375
