layer,head,importance
0,5,1.7348480224609375
0,7,1.6984710693359375
1,4,1.57330322265625
3,0,1.3608551025390625
0,2,1.1848297119140625
2,6,1.0784149169921875
3,7,0.98431396484375
1,1,0.8565216064453125
1,2,0.801055908203125
5,7,0.5859832763671875
3,1,0.5283050537109375
1,7,0.5258331298828125
2,1,0.38372802734375
4,1,0.3792266845703125
5,5,0.372772216796875
4,7,0.347412109375
2,3,0.2905120849609375
2,4,0.20941162109375
5,6,0.175628662109375
0,4,0.16766357421875
5,2,0.1637115478515625
1,0,0.0977020263671875
5,1,0.0965728759765625
