layer,head,importance
12,15,0.7054243087768555
3,15,0.5398578643798828
8,10,0.48053741455078125
0,0,0.4498634338378906
16,10,0.44931602478027344
4,10,0.4492988586425781
6,9,0.41727161407470703
2,2,0.40158748626708984
9,8,0.39805030822753906
5,0,0.36159324645996094
6,15,0.3563394546508789
13,6,0.34928417205810547
14,6,0.3335552215576172
4,14,0.3312416076660156
5,1,0.3008403778076172
16,5,0.2947864532470703
1,11,0.29077720642089844
11,3,0.2858705520629883
13,4,0.2789325714111328
12,4,0.27490806579589844
6,8,0.27140140533447266
11,4,0.2696208953857422
17,7,0.2687349319458008
13,12,0.26705360412597656
9,6,0.25910186767578125
5,3,0.24512672424316406
14,8,0.24418067932128906
9,7,0.23641395568847656
16,9,0.22978878021240234
10,7,0.22586631774902344
11,13,0.2249774932861328
15,15,0.21910572052001953
0,8,0.2177257537841797
11,6,0.2130584716796875
17,0,0.21284961700439453
11,15,0.20311927795410156
3,8,0.20133590698242188
20,1,0.19720840454101562
9,14,0.1959972381591797
19,10,0.19481372833251953
18,13,0.19466686248779297
2,3,0.1896381378173828
7,8,0.18910503387451172
2,10,0.1757946014404297
15,1,0.17333984375
8,11,0.172576904296875
11,2,0.16907024383544922
7,14,0.16327953338623047
3,7,0.16227436065673828
1,1,0.15686511993408203
18,12,0.15481853485107422
13,11,0.15406036376953125
14,0,0.15255165100097656
3,12,0.15164661407470703
14,4,0.15083885192871094
11,0,0.15076637268066406
5,6,0.15029144287109375
16,3,0.1498241424560547
7,13,0.14863967895507812
12,9,0.14610767364501953
8,13,0.140655517578125
17,12,0.14021587371826172
1,12,0.13818740844726562
9,4,0.13525962829589844
11,11,0.13234901428222656
5,5,0.13025379180908203
1,15,0.1265277862548828
12,0,0.12582969665527344
7,2,0.12507057189941406
3,10,0.12502765655517578
15,8,0.12446403503417969
21,11,0.12218761444091797
4,1,0.1167001724243164
14,14,0.11655712127685547
9,12,0.115966796875
12,1,0.11428356170654297
19,9,0.11427879333496094
1,5,0.11274242401123047
17,2,0.11249542236328125
0,10,0.11181640625
5,12,0.10554885864257812
9,9,0.1041727066040039
0,1,0.10343551635742188
8,12,0.102203369140625
10,10,0.10168170928955078
2,9,0.0998077392578125
10,11,0.09633922576904297
8,3,0.09586620330810547
1,0,0.09562492370605469
15,7,0.09547805786132812
17,4,0.09105968475341797
1,13,0.09008598327636719
8,4,0.08914852142333984
20,3,0.08515453338623047
19,15,0.08368206024169922
20,9,0.08344459533691406
14,2,0.08284854888916016
21,4,0.07832813262939453
10,5,0.0774993896484375
19,12,0.07615375518798828
1,10,0.07607078552246094
11,7,0.07583141326904297
18,1,0.07540702819824219
8,5,0.07336235046386719
12,10,0.0733489990234375
21,6,0.07307815551757812
19,11,0.07191658020019531
21,1,0.07166862487792969
0,13,0.07054615020751953
6,14,0.07037067413330078
1,2,0.06859874725341797
18,0,0.06526947021484375
21,0,0.06462287902832031
19,2,0.06375885009765625
5,8,0.06359291076660156
16,6,0.06279277801513672
13,2,0.06244468688964844
12,2,0.06166362762451172
23,1,0.06146430969238281
22,15,0.06134033203125
3,11,0.05946159362792969
15,11,0.059350013732910156
19,13,0.05882072448730469
19,5,0.058135032653808594
11,1,0.05802154541015625
23,15,0.056934356689453125
16,8,0.05592060089111328
10,4,0.05525398254394531
9,5,0.053765296936035156
22,6,0.05334758758544922
2,0,0.051239013671875
21,14,0.05074501037597656
19,3,0.05071544647216797
21,3,0.04992103576660156
7,15,0.04990196228027344
10,12,0.04739093780517578
14,5,0.0468902587890625
3,9,0.04557609558105469
22,11,0.045172691345214844
6,3,0.044513702392578125
7,10,0.04395294189453125
16,14,0.04254341125488281
16,0,0.04194164276123047
3,1,0.04137134552001953
21,9,0.04129600524902344
0,9,0.03818702697753906
18,3,0.03624725341796875
20,11,0.03562641143798828
4,4,0.0345916748046875
0,12,0.03434944152832031
10,13,0.03359699249267578
13,13,0.03316783905029297
22,9,0.03131389617919922
10,1,0.03125572204589844
15,12,0.02916717529296875
12,5,0.026628494262695312
23,9,0.026411056518554688
15,14,0.02484893798828125
8,7,0.021387100219726562
8,14,0.021306991577148438
22,3,0.021104812622070312
23,5,0.01946258544921875
2,12,0.019124984741210938
20,5,0.018201828002929688
6,1,0.01779651641845703
0,5,0.017530441284179688
22,0,0.015381813049316406
6,5,0.015246391296386719
23,6,0.014017105102539062
5,10,0.010808944702148438
5,11,0.0103302001953125
