layer,head,importance
1,6,4.838129043579102
0,8,3.586883544921875
0,10,3.541421890258789
0,4,2.9287452697753906
0,11,2.686716079711914
0,0,2.6706695556640625
0,5,1.8818302154541016
1,9,1.7492618560791016
0,3,1.6417083740234375
1,2,0.8689765930175781
0,1,0.8493099212646484
5,11,0.3982734680175781
2,9,0.3235321044921875
10,9,0.32062339782714844
3,6,0.3161468505859375
9,5,0.29431724548339844
3,8,0.27594566345214844
7,9,0.24905014038085938
3,0,0.23710060119628906
0,2,0.209564208984375
5,4,0.20464515686035156
4,7,0.20252037048339844
6,4,0.19607925415039062
7,11,0.18302345275878906
9,10,0.1815643310546875
11,8,0.16107177734375
4,9,0.1485118865966797
10,1,0.1285552978515625
9,3,0.12592315673828125
5,1,0.11957359313964844
4,6,0.115631103515625
6,8,0.10460853576660156
6,0,0.10241508483886719
0,9,0.10225296020507812
5,10,0.09725761413574219
4,1,0.09278678894042969
1,0,0.08050537109375
2,0,0.08004570007324219
7,3,0.07901573181152344
8,3,0.07121658325195312
2,11,0.06999778747558594
7,6,0.06726264953613281
11,4,0.05875205993652344
10,2,0.050594329833984375
7,4,0.05011940002441406
6,6,0.04444694519042969
7,1,0.039493560791015625
3,4,0.035205841064453125
9,1,0.030216217041015625
10,10,0.028722763061523438
8,10,0.027423858642578125
9,11,0.025421142578125
5,6,0.021259307861328125
10,6,0.020923614501953125
8,4,0.020086288452148438
7,5,0.017877578735351562
10,5,0.015832901000976562
9,8,0.012542724609375
9,6,0.010593414306640625
