layer,head,mean,min,max
0,0,0.09796035289764404,0.08839605003595352,0.12780727446079254
0,1,0.10501294583082199,0.08939418941736221,0.14611659944057465
0,2,0.09704408794641495,0.08956325799226761,0.11810556054115295
0,3,0.10379503667354584,0.08929520100355148,0.13699504733085632
0,4,0.0939498096704483,0.08644198626279831,0.10996311902999878
0,5,0.09356092661619186,0.0893619954586029,0.1009117141366005
0,6,0.09887895733118057,0.08964892476797104,0.10911041498184204
0,7,0.10228429734706879,0.08617351204156876,0.1584603190422058
0,8,0.09720291942358017,0.08956938982009888,0.10818582028150558
0,9,0.09469237923622131,0.0895983874797821,0.10299352556467056
0,10,0.09221211075782776,0.08941882103681564,0.0970790758728981
0,11,0.10182671993970871,0.08924796432256699,0.12667684257030487
0,12,0.0925583615899086,0.0888822004199028,0.10322512686252594
0,13,0.0927438735961914,0.08926503360271454,0.09878044575452805
0,14,0.1005372554063797,0.08964329212903976,0.1310291439294815
0,15,0.10758980363607407,0.08800987154245377,0.17803961038589478
1,0,0.10114923119544983,0.08804143965244293,0.12126807868480682
1,1,0.10433995723724365,0.08982741832733154,0.12208807468414307
1,2,0.09819970279932022,0.08938205242156982,0.10826951265335083
1,3,0.09679578989744186,0.08932110667228699,0.10852119326591492
1,4,0.11680275946855545,0.08763718605041504,0.19132812321186066
1,5,0.09815529733896255,0.08719780296087265,0.14006264507770538
1,6,0.10143017768859863,0.0897943526506424,0.1187228336930275
1,7,0.09807611256837845,0.08958379924297333,0.10927300900220871
1,8,0.10193184018135071,0.09002293646335602,0.14621515572071075
1,9,0.10003670305013657,0.08939492702484131,0.11351559311151505
1,10,0.10756495594978333,0.08914486318826675,0.15513555705547333
1,11,0.08702538162469864,0.08566367626190186,0.08988966047763824
1,12,0.09636994451284409,0.08987081050872803,0.10407256335020065
1,13,0.09973212331533432,0.08922136574983597,0.11025138199329376
1,14,0.0949980691075325,0.08835580199956894,0.10115684568881989
1,15,0.10376784950494766,0.08767347782850266,0.16498491168022156
2,0,0.10983654856681824,0.08881552517414093,0.15888279676437378
2,1,0.10022418946027756,0.08957523107528687,0.1238555982708931
2,2,0.10380815714597702,0.08980351686477661,0.12301183491945267
2,3,0.10998200625181198,0.08906849473714828,0.14598433673381805
2,4,0.10166367143392563,0.08992894738912582,0.12322569638490677
2,5,0.1000918596982956,0.08988509327173233,0.11152413487434387
2,6,0.1048634722828865,0.08955994993448257,0.12484201043844223
2,7,0.10887417942285538,0.08799473941326141,0.17913086712360382
2,8,0.09947337210178375,0.08860018849372864,0.11642063409090042
2,9,0.10293586552143097,0.08852078020572662,0.15169891715049744
2,10,0.10140696913003922,0.08971437066793442,0.12022709101438522
2,11,0.09576185047626495,0.08860388398170471,0.10534239560365677
2,12,0.10532879084348679,0.08953359723091125,0.13061398267745972
2,13,0.10442692041397095,0.08987056463956833,0.1282861977815628
2,14,0.10055291652679443,0.08947616815567017,0.13388296961784363
2,15,0.10519018769264221,0.08943361788988113,0.18099649250507355
3,0,0.10204587131738663,0.08976345509290695,0.13131767511367798
3,1,0.09882121533155441,0.08963412791490555,0.11426857113838196
3,2,0.10172083228826523,0.08979572355747223,0.1239466741681099
3,3,0.10625749081373215,0.08866959810256958,0.13865379989147186
3,4,0.10217204689979553,0.08994244039058685,0.11935129016637802
3,5,0.10867759585380554,0.08944957703351974,0.12889525294303894
3,6,0.09971585124731064,0.08976459503173828,0.11573665589094162
3,7,0.10941815376281738,0.08885757625102997,0.16518306732177734
3,8,0.10471025854349136,0.08988173305988312,0.12570928037166595
3,9,0.10945305973291397,0.08870717138051987,0.1676616072654724
3,10,0.10174337029457092,0.08996576070785522,0.11323487758636475
3,11,0.10053976625204086,0.08975682407617569,0.12318117916584015
3,12,0.10526124387979507,0.0898265540599823,0.12339416891336441
3,13,0.09996416419744492,0.08921553939580917,0.11720576882362366
3,14,0.09827669709920883,0.08963743597269058,0.10698916018009186
3,15,0.10115257650613785,0.08967813849449158,0.12699414789676666
4,0,0.0987958088517189,0.0893932580947876,0.1111687421798706
