layer,token,logit
0, Yes,-462.762939453125
0, No,-463.6219177246094
1, Yes,-452.0795593261719
1, No,-454.5158996582031
2, Yes,-458.51519775390625
2, No,-460.4720764160156
3, Yes,-456.5093078613281
3, No,-460.2593078613281
4, Yes,-492.7568664550781
4, No,-498.0868835449219
5, Yes,-3711.523681640625
5, No,-3716.2568359375
