Head,LogitDiff
Layer25Head8,0.0830078125
Layer38Head14,0.0697021484375
Layer31Head3,0.068115234375
Layer26Head9,0.05389404296875
Layer40Head10,0.05389404296875
Layer41Head10,0.05181884765625
Layer36Head0,0.039306640625
Layer41Head0,0.03594970703125
Layer24Head3,0.029754638671875
Layer25Head9,0.02752685546875
Layer25Head7,0.0260009765625
Layer39Head0,0.020263671875
Layer24Head5,0.01763916015625
Layer33Head4,0.017486572265625
Layer36Head2,0.01715087890625
Layer28Head12,0.0170440673828125
Layer27Head15,0.016754150390625
Layer41Head6,0.015777587890625
Layer22Head6,0.015533447265625
Layer38Head1,0.0150299072265625
Layer29Head4,0.0146484375
Layer28Head4,0.0132904052734375
Layer37Head15,0.013275146484375
Layer34Head7,0.01177215576171875
Layer40Head6,0.0116424560546875
Layer26Head5,0.010894775390625
Layer23Head4,0.009033203125
Layer40Head13,0.00864410400390625
Layer22Head10,0.008144378662109375
Layer25Head13,0.00803375244140625
Layer22Head0,0.00803375244140625
Layer23Head14,0.00766754150390625
Layer25Head0,0.007404327392578125
Layer26Head0,0.00640869140625
Layer23Head11,0.0060272216796875
Layer28Head0,0.00601959228515625
Layer34Head5,0.0057830810546875
Layer26Head11,0.00563812255859375
Layer31Head15,0.0050201416015625
Layer35Head8,0.0047550201416015625
Layer30Head13,0.0044097900390625
Layer17Head10,0.004405975341796875
Layer20Head14,0.00438690185546875
Layer39Head6,0.004276275634765625
Layer20Head7,0.0041561126708984375
Layer41Head13,0.004145622253417969
Layer36Head14,0.004138946533203125
Layer23Head2,0.0041351318359375
Layer27Head6,0.004029273986816406
Layer31Head0,0.004021883010864258
Layer31Head8,0.0040130615234375
Layer29Head11,0.003902912139892578
Layer22Head8,0.003902435302734375
Layer40Head3,0.0039005279541015625
Layer26Head12,0.0038928985595703125
Layer21Head0,0.0037775039672851562
Layer26Head13,0.00376129150390625
Layer24Head7,0.0036497116088867188
Layer21Head4,0.0036468505859375
Layer26Head7,0.0035247802734375
Layer37Head12,0.003520965576171875
Layer24Head15,0.0034050941467285156
Layer36Head10,0.0034046173095703125
Layer24Head6,0.0033969879150390625
Layer36Head5,0.0033969879150390625
Layer19Head2,0.0032824277877807617
