layer,head,mean_attention_toward
1,10,3.498864758759737
1,12,3.2386629870161414
0,4,3.229450561106205
35,12,3.2209443990141153
1,1,3.0789589434862137
1,15,3.0214703157544136
0,13,2.9643105566501617
0,1,2.9409102499485016
1,6,2.9336734833195806
0,12,2.909891977906227
